epoch,dense_5_loss,dense_6_loss,dense_7_loss,loss
0,1.0029739141464233,0.27861860394477844,3.154102325439453,4.435694694519043
1,0.8950404524803162,0.2263498455286026,3.0614559650421143,4.182846546173096
2,0.7629031538963318,0.21906638145446777,3.044631242752075,4.0266008377075195
3,0.6437719464302063,0.208991140127182,3.0196707248687744,3.872434139251709
4,0.5517181754112244,0.19742299616336823,2.9947285652160645,3.7438697814941406
5,0.48787346482276917,0.18487757444381714,2.9736080169677734,3.6463592052459717
6,0.4448298215866089,0.1744578778743744,2.956019878387451,3.575307846069336
7,0.415735125541687,0.16656899452209473,2.9438533782958984,3.5261573791503906
8,0.39468857645988464,0.15928435325622559,2.933105945587158,3.487079620361328
9,0.3787614703178406,0.15373963117599487,2.9233248233795166,3.4558258056640625
10,0.36691099405288696,0.1492220014333725,2.916722536087036,3.4328560829162598
11,0.3578122854232788,0.14532341063022614,2.9110755920410156,3.4142115116119385
12,0.3500842750072479,0.14182187616825104,2.906391143798828,3.3982973098754883
13,0.3439350426197052,0.13913218677043915,2.9023988246917725,3.3854660987854004
14,0.3387612998485565,0.1370714157819748,2.8991246223449707,3.3749566078186035
