sample_word,known,bucket_size
pre-performance,True,1
overbalance,False,1
cadenced,True,1
descendent,True,1
carthusian,False,1
cavil,False,1
detox,True,1
carnival-like,True,1
noncoding,False,1
ology,True,1
playset,True,1
quarter-point,True,1
footwell,False,1
hemorrhaging,True,1
medium-large,True,1
fathering,True,1
problem-centered,True,1
conjunctiva,False,1
seediness,False,1
hard-bodied,True,2
taurine,True,2
ten-mile,True,2
kilowatt-hour,True,2
urban/suburban,True,2
essentialist,True,2
lectionary,False,3
bass-baritone,False,3
humidification,True,3
single-layer,True,3
malamute,True,4
restenosis,False,4
underdrawing,False,5
flex-fuel,False,5
top-up,True,6
crampy,True,6
punishingly,True,7
nonreproductive,True,8
once-white,False,8
low-order,True,9
rapini,False,10
motoric,False,11
entablature,False,12
frizzy-haired,True,13
prelapsarian,False,14
misconceived,True,16
african-inspired,True,17
two-semester,True,18
fetchingly,True,20
intraracial,True,22
genitourinary,False,23
consolatory,True,25
linux-based,True,27
disestablish,True,29
traffic-clogged,True,32
post-exposure,True,34
unhelpfully,True,36
stick-like,True,39
moldavian,False,42
thigh-deep,True,45
profit-taking,True,48
mid-1700s,True,51
viremia,False,55
womb-like,True,58
carpathian,False,62
humaneness,True,66
uploader,True,70
punchbowl,True,75
dribbling,True,79
vibrio,False,84
high-incidence,True,89
recommence,True,94
run-out,True,99
anti-spam,True,105
mocking,True,111
plowshare,False,117
heave-ho,True,124
orthopedics,True,130
incan,True,137
wizarding,True,144
overindulge,True,152
clean,True,160
impermanence,True,168
welded,True,176
first-line,True,185
sartorial,True,194
overconfident,True,203
sea-level,True,213
replant,True,223
sprinter,True,233
hound,True,244
fracture,True,255
iris,True,267
booster,True,279
leisure,True,291
unity,True,303
